"Agency Name",Sub-Agency/Publisher,"Organization Type",Datasets,"Last Entry"
"Department of Health and Human Services","Administration for Children and Families, Department of Health &amp; Human Services","Federal Government",2,07/14/2017
"Department of Health and Human Services","Agency for Healthcare Research and Quality, Department of Health &amp; Human Services","Federal Government",9,12/02/2017
"Department of Health and Human Services","Centers for Disease Control and Prevention","Federal Government",407,08/02/2018
"Department of Health and Human Services","Centers for Disease Control and Prevention, Department of Health &amp; Human Services","Federal Government",48,08/02/2018
"Department of Health and Human Services","Centers for Medicare &amp; Medicaid Services","Federal Government",441,08/02/2018
"Department of Health and Human Services","Centers for Medicare &amp; Medicaid Services, Department of Health &amp; Human Services","Federal Government",4,08/02/2018
"Department of Health and Human Services","Department of Health &amp; Human Services","Federal Government",408,08/02/2018
"Department of Health and Human Services","Department of Health &amp; Human Services, Agency for Healthcare Research and Quality","Federal Government",1,12/02/2017
"Department of Health and Human Services","Department/Agency level/No publisher","Federal Government",21,06/08/2018
"Department of Health and Human Services","Health Resources and Services Administration","Federal Government",1,08/02/2018
"Department of Health and Human Services","Health Resources and Services Administration, Department of Health &amp; Human Services","Federal Government",8,08/02/2018
"Department of Health and Human Services","National Institutes of Health","Federal Government",2,06/17/2014
"Department of Health and Human Services","National Institutes of Health (NIH)","Federal Government",53,07/14/2017
"Department of Health and Human Services","National Library of Medicine (NLM)","Federal Government",44,07/14/2017
"Department of Health and Human Services","Office of Inspector General","Federal Government",1,07/14/2017
"Department of Health and Human Services","Office of the National Coordinator for Health Information Technology, Department of Health &amp; Human Services","Federal Government",2,08/02/2018
"Department of Health and Human Services","Substance Abuse &amp; Mental Health Services Administration","Federal Government",111,08/02/2018
"Department of Health and Human Services","U.S. Food and Drug Administration, Department of Health &amp; Human Services","Federal Government",3,07/14/2017
"Department of Homeland Security",,"Federal Government",8874,02/17/2018
"Department of Homeland Security","Citizenship and Immigration Services, United States","Federal Government",22,08/12/2017
"Department of Homeland Security","Coast Guard, United States","Federal Government",115,02/17/2018
"Department of Homeland Security","Department/Agency level/No publisher","Federal Government",7,02/17/2018
"Department of Homeland Security","Federal Emergency Management Agency","Federal Government",71,02/17/2018
"Department of Homeland Security","Federal Emergency Management Agency","Federal Government",8109,11/14/2017
"Department of Homeland Security","Health Affairs, Office of","Federal Government",2,06/26/2017
"Department of Homeland Security","Immigration and Customs Enforcement, United States","Federal Government",9,08/12/2017
"Department of Homeland Security","National Protection and Programs Directorate","Federal Government",1,06/26/2017
"Department of Homeland Security","Secret Service, United States","Federal Government",1,06/26/2017
"Department of Homeland Security","Transportation Security Administration","Federal Government",15,06/26/2017
"Department of Homeland Security","U.S. Customs and Border Protection","Federal Government",53,02/17/2018
"Department of Homeland Security","Under Secretary / Management","Federal Government",469,02/17/2018
"Department of Housing and Urban Development",,"Federal Government",173,04/25/2017
"Department of Housing and Urban Development","US Bureau of the Census","Federal Government",1,03/08/2017
"Department of Housing and Urban Development","US Department of Housing and Urban Development","Federal Government",172,04/25/2017
"Department of Justice",,"Federal Government",60,03/01/2017
"Department of Justice","BJS - Bureau of Justice Statistics","Federal Government",54,06/02/2016
"Department of Justice","DEA - Drug Enforcement Administration","Federal Government",2,03/01/2017
"Department of Justice","NIJ - National Institute of Justice","Federal Government",2,03/01/2017
"Department of Justice","United States Department of Justice. Office of Justice Programs. National Institute of Justice","Federal Government",2,04/11/2014
"Department of Labor",,"Federal Government",303,03/08/2018
"Department of Labor","Employee Benefits Security Administration","Federal Government",5,06/01/2017
"Department of Labor","U.S. Department of Labor Benefits.gov Program","Federal Government",21,09/21/2017
"Department of Labor","U.S. Department of Labor Bureau of International Labor Affairs","Federal Government",16,03/08/2018
"Department of Labor","U.S. Department of Labor Bureau of Labor Statistics","Federal Government",95,03/08/2018
"Department of Labor","U.S. Department of Labor Chief Economist's Office","Federal Government",1,06/01/2017
"Department of Labor","U.S. Department of Labor Employee Benefits Security Administration","Federal Government",1,06/01/2017
"Department of Labor","U.S. Department of Labor Employment and Training Administration","Federal Government",41,03/08/2018
"Department of Labor","U.S. Department of Labor Mine Safety and Health Administration","Federal Government",18,06/01/2017
"Department of Labor","U.S. Department of Labor Occupational Safety and Health Administration","Federal Government",11,06/01/2017
"Department of Labor","U.S. Department of Labor Office of Federal Contract Compliance Programs","Federal Government",2,06/01/2017
"Department of Labor","U.S. Department of Labor Office of Job Corps","Federal Government",4,03/01/2017
"Department of Labor","U.S. Department of Labor Office of Labor-Management Standards","Federal Government",1,03/01/2017
"Department of Labor","U.S. Department of Labor Office of Public Affairs","Federal Government",24,06/01/2017
"Department of Labor","U.S. Department of Labor Office of Worker's Compensation Program","Federal Government",1,03/01/2017
"Department of Labor","U.S. Department of Labor Office of Workers' Compensation Program","Federal Government",11,03/01/2017
"Department of Labor","U.S. Department of Labor Office of the Assistant Secretary for Policy","Federal Government",1,06/01/2017
"Department of Labor","U.S. Department of Labor Office of the Solicitor","Federal Government",6,03/01/2017
"Department of Labor","U.S. Department of Labor Wage and Hour Division","Federal Government",10,06/01/2017
"Department of Labor","U.S. Department of Labor, Bureau of Labor Statistics","Federal Government",31,03/08/2018
"Department of Labor","Wage and Hour Division","Federal Government",3,06/01/2017
"Department of State",,"Federal Government",129,05/13/2018
"Department of State","Department/Agency level/No publisher","Federal Government",21,05/13/2018
"Department of State","U.S. Department of State","Federal Government",108,04/23/2016
"Department of Transportation",,"Federal Government",883,08/01/2018
"Department of Transportation","Bureau of Transportation Statisitics","Federal Government",3,03/27/2018
"Department of Transportation","Department/Agency level/No publisher","Federal Government",145,10/09/2017
"Department of Transportation","Federal Aviation Administration","Federal Government",342,05/23/2017
"Department of Transportation","Federal Highway Administration","Federal Government",42,03/01/2017
"Department of Transportation","Federal Motor Carrier Safety Administration","Federal Government",48,03/01/2017
"Department of Transportation","Federal Railroad Administration","Federal Government",25,03/01/2017
"Department of Transportation","Federal Transit Administration","Federal Government",11,11/30/2016
"Department of Transportation","Maritime Administration","Federal Government",20,03/01/2017
"Department of Transportation","National Highway Traffic Safety Administration","Federal Government",52,03/01/2017
"Department of Transportation","Office of the Inspector General","Federal Government",3,03/01/2017
"Department of Transportation","Office of the Secretary of Transportation","Federal Government",55,03/01/2017
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Federal Government",16,08/25/2017
"Department of Transportation","Research and Innovative Technology Administration","Federal Government",33,10/09/2017
"Department of Transportation","Saint Lawrence Seaway Development Corporation","Federal Government",12,03/01/2017
"Department of Transportation","Surface Transportation Board","Federal Government",21,03/01/2017
"Department of Transportation",USDOT,"Federal Government",54,08/01/2018
"Department of Transportation",data.transportation.gov,"Federal Government",1,11/14/2017
"Department of Veterans Affairs",,"Federal Government",1219,08/03/2018
"Department of Veterans Affairs","Department of Veterans Affairs","Federal Government",1218,08/03/2018
"Department of Veterans Affairs","Department/Agency level/No publisher","Federal Government",1,05/20/2018
"Department of the Interior",,"Federal Government",84156,08/05/2018
"Department of the Interior","Arizona State Office, Bureau of Land Management - GIS Manager","Federal Government",4,05/19/2018
"Department of the Interior","Avenza Maps","Federal Government",7,02/23/2018
"Department of the Interior",BLM,"Federal Government",20,05/21/2018
"Department of the Interior","BLM - Eric Hiebenthal","Federal Government",2,02/23/2018
"Department of the Interior","BLM - Roger Blouch","Federal Government",5,05/21/2018
"Department of the Interior","BLM - Russell Slatton","Federal Government",227,05/21/2018
"Department of the Interior","BLM Colorado - State Geospatial Lead","Federal Government",88,05/21/2018
"Department of the Interior","BLM Colorado Royal Gorge Field Office","Federal Government",3,05/21/2018
"Department of the Interior","BLM Colorado State Office","Federal Government",6,05/21/2018
"Department of the Interior","BLM Eastern States - Ryan Tietjen","Federal Government",5,05/19/2018
"Department of the Interior","BLM Moab Field Office","Federal Government",8,03/01/2018
"Department of the Interior","BLM National Operations Center, OC530 - NOC Data Management Lead","Federal Government",19,05/21/2018
"Department of the Interior","BLM New Mexico Fire Program","Federal Government",2,05/21/2018
"Department of the Interior","BLM New Mexico Oil & Gas Program","Federal Government",11,05/21/2018
"Department of the Interior","BLM Oregon State Office","Federal Government",3,05/21/2018
"Department of the Interior","BLM Utah State Office","Federal Government",75,05/21/2018
"Department of the Interior","BLM, Colorado State Office","Federal Government",32,05/21/2018
"Department of the Interior","BLM, Eastern State Office","Federal Government",222,05/21/2018
"Department of the Interior","BLM, Idaho State Office","Federal Government",3,05/21/2018
"Department of the Interior","BLM, Idaho State Office - CM","Federal Government",3,05/21/2018
"Department of the Interior","BLM, New Mexico State Office","Federal Government",9,05/21/2018
"Department of the Interior",BLM/USFS,"Federal Government",3,05/21/2018
"Department of the Interior","Bureau Indian Affairs","Federal Government",9,06/08/2018
"Department of the Interior","Bureau of Indian Affairs","Federal Government",3,06/08/2018
"Department of the Interior","Bureau of Land Management","Federal Government",2400,06/08/2018
"Department of the Interior","Bureau of Land Management - Eric Hiebenthal","Federal Government",170,05/21/2018
"Department of the Interior","Bureau of Land Management - New Mexico State Office - GIS Manager","Federal Government",23,06/08/2018
"Department of the Interior","Bureau of Land Management - New Mexico State Office - State GIS Manager","Federal Government",5,06/08/2018
"Department of the Interior","Bureau of Land Management, Arizona State Office - Brandon Colvin","Federal Government",6,06/08/2018
"Department of the Interior","Bureau of Land Management, Arizona State Office - GIS Manager","Federal Government",3,06/08/2018
"Department of the Interior","Bureau of Land Management, Colorado State Office - State Geospatial Lead","Federal Government",28,06/08/2018
"Department of the Interior","Bureau of Land Management, Idaho State Office, Engineering and Geosciences - CMavencamp","Federal Government",29,05/21/2018
"Department of the Interior","Bureau of Land Management, Nevada State Office","Federal Government",41,06/08/2018
"Department of the Interior","Bureau of Land Management, Nevada State Office - GIS Manager","Federal Government",6,06/08/2018
"Department of the Interior","Bureau of Land Management, Oregon State Office - Eric Hiebenthal","Federal Government",25,05/21/2018
"Department of the Interior","Bureau of Ocean Energy Management","Federal Government",108,06/08/2018
"Department of the Interior","Bureau of Safety and Environmental Enforcement (BSEE)","Federal Government",5,05/20/2018
"Department of the Interior",COSO,"Federal Government",6,05/21/2018
"Department of the Interior","Climate Science Centers","Federal Government",269,05/21/2018
"Department of the Interior","Colorado River Valley Field Office BLM - Field Office GIS Specialist","Federal Government",1,02/23/2018
"Department of the Interior","Department of the Interior (DOI), Bureau of Land Management (BLM), Idaho State Office","Federal Government",3,05/21/2018
"Department of the Interior","Department/Agency level/No publisher","Federal Government",18480,06/08/2018
"Department of the Interior","Federal Geographic Data Committee","Federal Government",7,12/06/2017
"Department of the Interior","Fish and Wildlife Service","Federal Government",45881,06/08/2018
"Department of the Interior","Haskell Indian Nations University","Federal Government",1,04/10/2014
"Department of the Interior","Idaho BLM","Federal Government",3,05/21/2018
"Department of the Interior","National Park Service","Federal Government",1044,06/08/2018
"Department of the Interior","Nevada Department of Wildlife","Federal Government",3,05/21/2018
"Department of the Interior",OR,"Federal Government",5,-
"Department of the Interior","OR BLM","Federal Government",720,-
"Department of the Interior","Oregon State Office, Bureau of Land Management","Federal Government",3,05/21/2018
"Department of the Interior","Southwestern Indian Polytechnic Institute","Federal Government",1,04/10/2014
"Department of the Interior","U.S. Department of the Interior (DOI), Bureau of Land Management (BLM), Idaho State Office","Federal Government",48,05/21/2018
"Department of the Interior","U.S. Department of the Interior (DOI), Bureau of Land Management (BLM), Idaho State Office - C Mavencamp","Federal Government",1,05/21/2018
"Department of the Interior","U.S. Department of the Interior, Bureau of Land Management (BLM), Idaho State Office","Federal Government",3,05/21/2018
"Department of the Interior","U.S. Fish and Wildlife Service","Federal Government",271,05/21/2018
"Department of the Interior","U.S. Geological Survey","Federal Government",73,08/05/2018
"Department of the Interior","U.S. Geological Survey","Federal Government",13664,05/21/2018
"Department of the Interior","US Fish and Wildlife Service","Federal Government",3,05/21/2018
"Department of the Interior","Utah BLM State Office","Federal Government",48,05/21/2018
"Department of the Treasury",,"Federal Government",266,02/27/2018
"Department of the Treasury","Bureau of Engraving and Printing","Federal Government",1,03/29/2016
"Department of the Treasury","Bureau of the Fiscal Service","Federal Government",80,11/07/2017
"Department of the Treasury","Community Development Financial Institutions","Federal Government",2,03/29/2016
"Department of the Treasury","Community Development Financial Institutions Fund","Federal Government",1,03/29/2016
"Department of the Treasury","Council of the Inspector Generals","Federal Government",1,02/27/2018
"Department of the Treasury","Department of Justice","Federal Government",1,02/27/2018
"Department of the Treasury","Department of the Treasury","Federal Government",66,02/27/2018
"Department of the Treasury","Federal Reserve Bank of New York","Federal Government",1,03/29/2016
"Department of the Treasury","Financial Crimes Enforcement Network","Federal Government",5,02/27/2018
"Department of the Treasury","IRS Research, Analysis, and Statistics (RAS) Statistics of Income(SOI)","Federal Government",7,11/07/2017
"Department of the Treasury","Information Technology","Federal Government",1,02/27/2018
"Department of the Treasury","OCC Public Affair Operations","Federal Government",5,03/29/2016
"Department of the Treasury","OCC Public Affairs Operations","Federal Government",1,03/29/2016
"Department of the Treasury","Office of Audit","Federal Government",5,02/27/2018
"Department of the Treasury","Office of Communications","Federal Government",2,02/27/2018
"Department of the Treasury","Office of Debt Management","Federal Government",9,02/27/2018
"Department of the Treasury","Office of Financial Stability","Federal Government",2,03/29/2016
"Department of the Treasury","Office of Foreign Assets Control","Federal Government",1,11/17/2016
"Department of the Treasury","Office of IG","Federal Government",2,02/27/2018
"Department of the Treasury","Office of Inspections and Evaluations","Federal Government",1,02/27/2018
"Department of the Treasury","Office of Investigations","Federal Government",2,02/27/2018
"Department of the Treasury","Office of Mission Support","Federal Government",4,02/27/2018
"Department of the Treasury",TIGTA,"Federal Government",1,02/27/2018
"Department of the Treasury",TTB,"Federal Government",59,02/27/2018
"Department of the Treasury","U.S. Department of the Treasury","Federal Government",1,08/24/2017
"Department of the Treasury","United States Mint, Financial Department (CFO)","Federal Government",1,02/27/2018
"Department of the Treasury","United States Mint, Sales and Marketing (SAM) Department","Federal Government",3,02/27/2018
"Department of the Treasury","United States Mint. Sales and Marketing (SAM) Department","Federal Government",1,02/27/2018
"Election Assistance Commission",,"Other Federal",6,01/12/2014
"Environmental Protection Agency",,"Federal Government",3262,08/03/2018
"Environmental Protection Agency","Air Protection Division","Federal Government",1,03/08/2018
"Environmental Protection Agency","Department/Agency level/No publisher","Federal Government",2031,08/03/2018
"Environmental Protection Agency","Environmental Protection Agency","Federal Government",7,08/03/2018
"Environmental Protection Agency","Land and Chemicals Division","Federal Government",1,08/10/2016
"Environmental Protection Agency","U.S. EPA Office of Administration and Resource Management (OARM)","Federal Government",1,03/17/2017
"Environmental Protection Agency","U.S. EPA Office of Air and Radiation (OAR) - Office of Air Quality Planning and Standards (OAQPS)","Federal Government",43,10/26/2017
"Environmental Protection Agency","U.S. EPA Office of Air and Radiation (OAR) - Office of Atmospheric Programs (OAP)","Federal Government",36,03/08/2018
"Environmental Protection Agency","U.S. EPA Office of Air and Radiation (OAR) - Office of Radiation and Indoor Air (ORIA)","Federal Government",17,03/08/2018
"Environmental Protection Agency","U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP)","Federal Government",8,05/12/2018
"Environmental Protection Agency","U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP) - Office of Pesticide Programs (OPP)","Federal Government",4,03/06/2017
"Environmental Protection Agency","U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP) - Office of Pollution Prevention and Toxics (OPPT)","Federal Government",10,03/17/2017
"Environmental Protection Agency","U.S. EPA Office of Enforcement and Compliance Assurance (OECA)","Federal Government",8,03/06/2017
"Environmental Protection Agency","U.S. EPA Office of Environmental Information (OEI)","Federal Government",29,05/12/2018
"Environmental Protection Agency","U.S. EPA Office of Environmental Information (OEI) - Office of Information Analysis and Access (OIAA)","Federal Government",1,03/14/2017
"Environmental Protection Agency","U.S. EPA Office of Environmental Information (OEI) - Office of Information Collection (OIC)","Federal Government",1,10/09/2017
"Environmental Protection Agency","U.S. EPA Office of General Counsel (OGC)","Federal Government",3,11/08/2016
"Environmental Protection Agency","U.S. EPA Office of Research and Development (ORD)","Federal Government",864,08/01/2018
"Environmental Protection Agency","U.S. EPA Office of Research and Development (ORD) - National Center for Computational Toxicology (NCCT)","Federal Government",7,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Research and Development (ORD) - National Center for Environmental Assessment (NCEA)","Federal Government",3,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Research and Development (ORD) - National Exposure Research Laboratory (NERL)","Federal Government",2,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Research and Development (ORD) - National Health and Environmental Effects Research Laboratory (NHEERL)","Federal Government",1,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Solid Waste and Emergency Response (OSWER)","Federal Government",2,03/14/2017
"Environmental Protection Agency","U.S. EPA Office of Water (OW)","Federal Government",13,12/04/2017
"Environmental Protection Agency","U.S. EPA Office of Water (OW) - Office of Ground Water and Drinking Water (OGWDW)","Federal Government",13,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Water (OW) - Office of Science and Technology (OST)","Federal Government",5,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Water (OW) - Office of Wastewater Management (OWM)","Federal Government",6,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of Water (OW) - Office of Wetlands Oceans and Watersheds (OWOW)","Federal Government",21,03/03/2017
"Environmental Protection Agency","U.S. EPA Office of the Chief Financial Officer (OCFO)","Federal Government",7,07/28/2016
"Environmental Protection Agency","U.S. EPA, Region 5, Water Division, Water Quality Branch","Federal Government",1,08/11/2016
"Environmental Protection Agency","U.S. Environmental Protection Agency","Federal Government",82,08/03/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Office of Air and Radiation","Federal Government",1,03/29/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Office of Environmental Information, Office of Information Collection","Federal Government",3,08/01/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Region 1","Federal Government",1,08/01/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Region 4","Federal Government",10,08/01/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Region 5","Federal Government",1,08/01/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Region 6","Federal Government",6,08/01/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Region 7","Federal Government",8,08/01/2018
"Environmental Protection Agency","U.S. Environmental Protection Agency, Region 9","Federal Government",1,08/01/2018
"Environmental Protection Agency","US Environmental Protection Agency","Federal Government",3,08/03/2018
"Executive Office of the President",,"Other Federal",217,01/16/2018
"Executive Office of the President","Council on Environmental Quality","Other Federal",101,01/12/2014
"Executive Office of the President","Department/Agency level/No publisher","Other Federal",15,01/12/2014
"Executive Office of the President","Networking and Information Technology Research and Development","Other Federal",73,01/16/2018
"Executive Office of the President","Office of National Drug Control Policy","Other Federal",1,01/12/2014
"Executive Office of the President","Office of Science and Technology Policy","Other Federal",6,01/12/2014
"Executive Office of the President","US Trade Representative","Other Federal",17,01/12/2014
"Executive Office of the President","White House","Other Federal",4,01/12/2014
"Federal Communications Commission",,"Other Federal",20,08/03/2018
"Federal Communications Commission",opendata.fcc.gov,"Other Federal",20,08/03/2018
"Federal Deposit Insurance Corporation",,"Other Federal",3,07/16/2018
"Federal Election Commission",,"Other Federal",4,01/12/2014
"Federal Housing Finance Agency",,"Other Federal",2,05/29/2014
"Federal Housing Finance Agency","Federal Housing Finance Agency","Other Federal",2,05/29/2014
"Federal Laboratory Consortium",,"Other Federal",2627,08/01/2018
"Federal Laboratory Consortium","Federal Laboratory Consortium","Other Federal",2627,08/01/2018
"Federal Reserve Board",,"Other Federal",5,01/12/2014
"General Services Administration",,"Federal Government",114,08/01/2018
"General Services Administration",Data.gov,"Federal Government",1,12/07/2017
"General Services Administration","GSA IT","Federal Government",1,07/13/2017
"General Services Administration","General Services Administration","Federal Government",96,08/01/2018
"General Services Administration","Office of Government-wide Policy","Federal Government",2,03/29/2018
"General Services Administration","Office of Governmentwide Policy","Federal Government",2,03/29/2018
"General Services Administration","Office of the Chief Technology Officer","Federal Government",1,12/03/2016
"General Services Administration","Technology Transformation Service","Federal Government",11,12/01/2016
"Information Sharing Environment",,"Other Federal",2,01/12/2014
"Institute of Museum and Library Services",,"Other Federal",78,02/10/2017
"Institute of Museum and Library Services",data.imls.gov,"Other Federal",78,02/10/2017
"International Boundary & Water Commission",,"Other Federal",1,06/22/2017
"Library of Congress",,"Other Federal",9,05/15/2017
"Library of Congress","Library of Congress","Other Federal",9,05/15/2017
"Merit Systems Protection Board",,"Other Federal",1,07/05/2017
"Merit Systems Protection Board","Merit Systems Protection Board","Other Federal",1,07/05/2017
"Millenium Challenge Corporation",,"Other Federal",168,08/01/2018
"Millenium Challenge Corporation",MCC,"Other Federal",4,10/16/2016
"Millenium Challenge Corporation","Millennium Challenge Corporation","Other Federal",164,08/01/2018
"National Aeronautics and Space Administration",,"Federal Government",42076,08/04/2018
"National Aeronautics and Space Administration",ASDC,"Federal Government",206,08/01/2018
"National Aeronautics and Space Administration",ASF,"Federal Government",57,08/01/2018
"National Aeronautics and Space Administration","AWS NEX","Federal Government",4,08/01/2018
"National Aeronautics and Space Administration","Aeronautics Research Mission Directorate","Federal Government",7,08/01/2018
"National Aeronautics and Space Administration","Alaska Satellite Facility","Federal Government",131,08/01/2018
"National Aeronautics and Space Administration","Ames Research Center","Federal Government",36,08/01/2018
"National Aeronautics and Space Administration","Atmospheric Science Data Center","Federal Government",23,08/01/2018
"National Aeronautics and Space Administration",CDDIS,"Federal Government",33,08/01/2018
"National Aeronautics and Space Administration",CDDIS-GSFC,"Federal Government",1,08/01/2018
"National Aeronautics and Space Administration","California Institute of Technology","Federal Government",1,05/17/2013
"National Aeronautics and Space Administration","Center Independent Research &amp; Development","Federal Government",5,08/01/2018
"National Aeronautics and Space Administration",Dashlink,"Federal Government",645,08/01/2018
"National Aeronautics and Space Administration","Department/Agency level/No publisher","Federal Government",8644,08/01/2018
"National Aeronautics and Space Administration",EOSDIS,"Federal Government",3,08/01/2018
"National Aeronautics and Space Administration",GESDISC,"Federal Government",2872,08/01/2018
"National Aeronautics and Space Administration",GHRC,"Federal Government",1193,08/01/2018
"National Aeronautics and Space Administration",GSFC,"Federal Government",1,08/01/2018
"National Aeronautics and Space Administration","Human Exploration and Operations Mission Directorate","Federal Government",9,08/01/2018
"National Aeronautics and Space Administration","International Astronomical Union (IAU) Working Group for Planetary System Nomenclature (WGPSN)","Federal Government",52,08/01/2018
"National Aeronautics and Space Administration",JPL,"Federal Government",1,08/01/2018
"National Aeronautics and Space Administration",JSC,"Federal Government",41,08/01/2018
"National Aeronautics and Space Administration",LAADS,"Federal Government",237,08/01/2018
"National Aeronautics and Space Administration","LP DAAC","Federal Government",321,08/01/2018
"National Aeronautics and Space Administration",LPDAAC,"Federal Government",103,08/01/2018
"National Aeronautics and Space Administration",LaRC,"Federal Government",131,08/01/2018
"National Aeronautics and Space Administration",MODAPS,"Federal Government",12,08/01/2018
"National Aeronautics and Space Administration","Mission Support Directorate","Federal Government",1,08/01/2018
"National Aeronautics and Space Administration",N/A,"Federal Government",8,08/01/2018
"National Aeronautics and Space Administration","NASA GSFC Hydrological Sciences Branch, Laboratory for Hydrospheric Processes","Federal Government",1,08/01/2018
"National Aeronautics and Space Administration","NASA HQ","Federal Government",47,08/01/2018
"National Aeronautics and Space Administration","NASA National Snow and Ice Data Center Distributed Active Archive Center","Federal Government",76,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/EOS/ESDIS/LANCEMODIS,"Federal Government",105,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SED/CDDIS,"Federal Government",1,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SED/ESD/GCDC/GESDISC,"Federal Government",1166,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SED/ESD/GCDC/OB.DAAC,"Federal Government",216,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SED/ESD/GGL/CDDIS,"Federal Government",52,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SED/ESD/HBSL/BISB/LAADS,"Federal Government",64,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SED/ESD/HBSL/BISB/MODAPS,"Federal Government",4,08/01/2018
"National Aeronautics and Space Administration",NASA/GSFC/SSED/CDDIS,"Federal Government",3,08/01/2018
"National Aeronautics and Space Administration",NASA/LARC/SD/ASDC,"Federal Government",602,08/01/2018
"National Aeronautics and Space Administration",NASA/MSFC/GHRC,"Federal Government",422,08/01/2018
"National Aeronautics and Space Administration",NSIDC,"Federal Government",615,08/01/2018
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","Federal Government",5346,08/04/2018
"National Aeronautics and Space Administration","National Snow and Ice Data Center","Federal Government",670,08/01/2018
"National Aeronautics and Space Administration","Not provided","Federal Government",189,08/01/2018
"National Aeronautics and Space Administration",OB.DAAC,"Federal Government",2475,08/01/2018
"National Aeronautics and Space Administration",OBPG,"Federal Government",65,08/01/2018
"National Aeronautics and Space Administration",OCIO,"Federal Government",3,08/01/2018
"National Aeronautics and Space Administration","OMI SIPS","Federal Government",8,08/01/2018
"National Aeronautics and Space Administration",ORNL_DAAC,"Federal Government",2156,08/01/2018
"National Aeronautics and Space Administration","Office of the Chief Information Officer","Federal Government",1,08/01/2018
"National Aeronautics and Space Administration","Office of the Chief Technologist","Federal Government",3,08/01/2018
"National Aeronautics and Space Administration",PO.DAAC,"Federal Government",1674,08/01/2018
"National Aeronautics and Space Administration",SEDAC,"Federal Government",527,08/01/2018
"National Aeronautics and Space Administration","Science Mission Directorate","Federal Government",87,08/01/2018
"National Aeronautics and Space Administration","Space Sciences Laboratory, University of California, Berkeley","Federal Government",1,08/01/2018
"National Aeronautics and Space Administration","Space Technology Mission Directorate","Federal Government",10717,08/01/2018
"National Aeronautics and Space Administration","U.S. Antarctic Program Data Center","Federal Government",1,08/01/2018
"National Aeronautics and Space Administration","United States Antarctic Resource Center, U.S. Geological Survey, U.S. Department of the Interior","Federal Government",1,08/01/2018
"National Archives and Records Administration",,"Federal Government",49,02/24/2018
"National Archives and Records Administration","National Archives and Records Administration","Federal Government",40,02/24/2018
"National Archives and Records Administration","Office of Innovation","Federal Government",1,10/23/2015
"National Archives and Records Administration","Office of the Federal Register","Federal Government",8,02/03/2018
"National Capital Planning Commission",,"Other Federal",4,10/09/2014
"National Endowment for the Humanities",,"Other Federal",14,08/01/2018
"National Endowment for the Humanities",NEH,"Other Federal",14,08/01/2018
"National Labor Relations Board",,"Other Federal",56,01/12/2014
"National Science Foundation",,"Federal Government",92,04/08/2017
"National Science Foundation","National Science Foundation","Federal Government",90,04/08/2017
"National Science Foundation","Office of Management and Budget","Federal Government",1,08/16/2016
"National Science Foundation",USASpending.gov,"Federal Government",1,11/21/2015
"National Transportation Safety Board",,"Other Federal",24,12/17/2015
"National Transportation Safety Board","National Transportation Safety Board","Other Federal",24,12/17/2015
"Nuclear Regulatory Commission",,"Federal Government",37,06/08/2018
"Nuclear Regulatory Commission","Nuclear Regulatory Commission","Federal Government",36,06/08/2018
"Nuclear Regulatory Commission","U.S Nuclear Regulatory Commission","Federal Government",1,09/22/2017
"Occupational Safety and Health Review Commission",,"Other Federal",3,01/12/2014
"Office of Navajo and Hopi Indian Relocation",,"Other Federal",4,07/26/2017
"Office of Navajo and Hopi Indian Relocation","Office of Navajo and Hopi Indian Relocation","Other Federal",4,07/26/2017
"Office of Personnel Management",,"Federal Government",186,09/12/2015
"Office of Personnel Management","U.S. Office of Personnel Management","Federal Government",186,09/12/2015
"Overseas Private Investment Corporation",,"Other Federal",3,01/12/2014
"Pension Benefit Guaranty Corporation",,"Other Federal",10,02/24/2018
"Pension Benefit Guaranty Corporation",PBGC,"Other Federal",1,02/24/2018
"Pension Benefit Guaranty Corporation","Pension Benefit Guaranty Corporation","Other Federal",9,02/24/2018
